#row  column  size-1  circ-1  MedInt-1
9 1 205 0.913 242
9 2 189 0.939 243
9 3 178 0.937 245
9 4 147 0.928 242
9 5 157 0.931 244
9 6 148 0.959 242
9 7 148 0.959 242
9 8 147 0.918 252
9 9 142 0.92 240
9 10 137 0.974 242
9 11 115 0.999 236
9 12 63 0.943 241
9 13 65 0.973 235
9 14 155 0.943 243
9 15 129 0.882 240
9 16 148 0.924 240
9 17 136 0.915 242
9 18 157 0.955 239
9 19 115 0.94 235
9 20 156 0.939 245
9 21 152 0.959 245
9 22 162 0.96 246
9 23 158 0.904 241
9 24 0 0.0 0
9 25 175 0.943 242
9 26 117 0.956 237
9 27 162 0.927 249
9 28 145 0.939 246
9 29 165 0.954 246
9 30 161 0.944 244
9 31 10 -1.0 158
9 32 163 0.932 244
9 33 134 0.953 246
9 34 157 0.898 245
9 35 145 0.929 243
9 36 90 0.99 243
9 37 155 0.943 243
9 38 134 0.953 242
9 39 144 0.923 241
9 40 140 0.907 243
9 41 150 0.936 247
9 42 138 0.918 245
9 43 129 0.917 241
9 44 140 0.932 244
9 45 93 0.988 240
9 46 0 0.0 0
9 47 174 0.916 242
9 48 198 0.94 237
10 1 199 0.915 240
10 2 193 0.946 239
10 3 145 0.905 242
10 4 161 0.944 246
10 5 138 0.954 246
10 6 146 0.911 246
10 7 109 0.959 242
10 8 159 0.878 246
10 9 154 0.972 244
10 10 158 0.961 239
10 11 85 0.903 238
10 12 161 0.944 245
10 13 174 0.938 243
10 14 169 0.967 244
10 15 29 0.953 230
10 16 155 0.909 246
10 17 167 0.955 241
10 18 162 0.96 242
10 19 118 0.925 236
10 20 152 0.924 240
10 21 169 0.943 244
10 22 161 0.954 246
10 23 118 0.888 241
10 24 168 0.928 242
10 25 159 0.943 239
10 26 146 0.946 238
10 27 120 0.952 238
10 28 144 0.933 241
10 29 149 0.883 241
10 30 112 0.915 240
10 31 81 0.923 240
10 32 141 0.949 239
10 33 157 0.955 241
10 34 161 0.921 244
10 35 139 0.901 244
10 36 0 0.0 0
10 37 143 0.962 244
10 38 135 0.96 240
10 39 78 0.921 242
10 40 139 0.935 243
10 41 89 0.902 241
10 42 143 0.926 244
10 43 69 0.939 238
10 44 97 0.909 240
10 45 162 0.936 246
10 46 171 0.954 242
10 47 184 0.923 239
10 48 201 0.924 237
11 1 194 0.964 244
11 2 180 0.947 241
11 3 182 0.935 246
11 4 164 0.962 245
11 5 0 0.0 0
11 6 144 0.958 243
11 7 150 0.936 246
11 8 151 0.942 246
11 9 119 0.944 241
11 10 150 0.912 244
11 11 157 0.931 244
11 12 162 0.904 244
11 13 169 0.967 243
11 14 165 0.944 244
11 15 0 0.0 0
11 16 165 0.944 244
11 17 161 0.954 243
11 18 148 0.934 240
11 19 102 0.926 234
11 20 182 0.958 242
