row	col	colonysize	plateid	query	array	ncolonysize	score	kvp
5	19	146.25	plate.jpg.dat	1	YBL039C_DMA130	439.769228386659	NA	NA
5	20	175	plate.jpg.dat	1	YAL019W_DMA34	540.901048419766	NA	NA
5	21	169	plate.jpg.dat	1	YBL037W_DMA131	515.375136526655	NA	NA
5	22	183.5	plate.jpg.dat	1	YAL018C_DMA35	555.618066728096	NA	NA
5	23	154.5	plate.jpg.dat	1	YBL036C_DMA132	436.932962295281	NA	NA
5	24	207.5	plate.jpg.dat	1	YOR202W_DMA1	477.316666417135	NA	NA
6	1	259	plate.jpg.dat	1	YOR202W_DMA1	526.405804020566	NA	NA
6	2	189	plate.jpg.dat	1	YBR058C_DMA217	481.855680479525	NA	NA
6	3	178.25	plate.jpg.dat	1	YBR169C_DMA314	489.748840472995	NA	NA
6	4	178.25	plate.jpg.dat	1	YBR057C_DMA218	505.875887078469	NA	status=JK
6	5	186.25	plate.jpg.dat	1	YBR168W_DMA315	535.130889103667	NA	status=JK
6	6	147.25	plate.jpg.dat	1	YBR056W_DMA219	445.570427964841	NA	NA
6	7	142	plate.jpg.dat	1	YBR166C_DMA316	426.538422554126	NA	NA
6	8	94	plate.jpg.dat	1	YBR054W_DMA220	266.705040091428	NA	NA
6	9	172.5	plate.jpg.dat	1	YBR165W_DMA317	523.808836747137	NA	NA
6	10	163.5	plate.jpg.dat	1	YBR053C_DMA221	489.883180144284	NA	NA
6	11	193.25	plate.jpg.dat	1	YBR164C_DMA318	576.02556377642	NA	NA
6	12	171.75	plate.jpg.dat	1	YBR052C_DMA222	500.289824436456	NA	NA
6	13	143.25	plate.jpg.dat	1	YBR162W-A_DMA319	392.579347877484	NA	NA
6	14	141.25	plate.jpg.dat	1	YBR051W_DMA223	380.866999260372	NA	NA
6	15	202.5	plate.jpg.dat	1	YBR162C_DMA320	557.511940048289	NA	status=JK
6	16	178.25	plate.jpg.dat	1	YBR050C_DMA224	490.089843366143	NA	NA
6	17	192.5	plate.jpg.dat	1	YBR161W_DMA321	560.501805887387	NA	NA
6	18	176.75	plate.jpg.dat	1	YBR048W_DMA225	504.077503453591	NA	status=JK
6	19	168.25	plate.jpg.dat	1	YBR159W_DMA322	531.448625120768	NA	NA
6	20	178.25	plate.jpg.dat	1	YBR047W_DMA226	549.901334592252	NA	status=JK
6	21	162.25	plate.jpg.dat	1	YBR158W_DMA323	514.586733887924	NA	NA
6	22	165.5	plate.jpg.dat	1	YBR046C_DMA227	519.612934262905	NA	NA
6	23	164.5	plate.jpg.dat	1	YBR157C_DMA324	481.340167997727	NA	NA
6	24	230.5	plate.jpg.dat	1	YOR202W_DMA1	529.404188804386	NA	status=JK
7	1	243	plate.jpg.dat	1	YOR202W_DMA1	500.799844667144	NA	NA
7	2	157	plate.jpg.dat	1	YAL054C_DMA37	369.714863925096	NA	status=JK
7	3	184	plate.jpg.dat	1	YBL064C_DMA134	515.244522729019	NA	NA
7	4	178	plate.jpg.dat	1	YAL053W_DMA38	519.661330820966	NA	NA
7	5	172.25	plate.jpg.dat	1	YBL063W_DMA135	513.708892323736	NA	NA
