row,col,raw,plateid,query,array,normalized,score,supp
5,15,1495,1,1,115,510.225,0.044,-
5,16,1448,1,1,115,489.363,0.003,-
5,17,334,1,1,131,69.483,-0.339,-
5,18,871,1,1,131,268.027,0.05,-
5,19,1360,1,1,147,NA,NA,-
5,20,1283,1,1,147,423.206,-0.011,-
5,21,1390,1,1,163,453.149,-0.101,-
5,22,1373,1,1,163,440.298,-0.126,-
5,23,1664,1,1,179,550.082,0.001,-
5,24,1598,1,1,179,521.724,-0.055,-
5,25,1278,1,1,195,393.714,0.039,-
5,26,1271,1,1,195,386.507,0.025,-
5,27,1702,1,1,211,550.112,0.002,-
5,28,1830,1,1,211,599.999,0.1,-
5,29,333,1,1,227,47.065,-0.182,-
5,30,230,1,1,227,14.946,-0.245,-
5,31,1421,1,1,243,465.461,-0.15,-
5,32,1324,1,1,243,436.277,-0.207,-
5,33,1118,1,1,259,367.663,0.044,-
5,34,1032,1,1,259,346.643,0.002,-
5,35,1483,1,1,275,528.668,-0.022,-
5,36,1431,1,1,275,524.944,-0.029,-
5,37,779,1,1,291,291.055,-0.068,-
5,38,1143,1,1,291,441.018,0.225,-
5,39,1362,1,1,307,530.752,0.108,-
5,40,1231,1,1,307,477.8,0.004,-
5,41,1213,1,1,323,469.584,-0.109,-
5,42,1388,1,1,323,541.336,0.032,-
5,43,1488,1,1,339,587.983,0.089,-
5,44,1405,1,1,339,566.932,0.048,-
5,45,1351,1,1,355,542.563,-0.028,-
5,46,1599,1,1,355,NA,NA,-
5,47,1676,1,1,371,NA,NA,-
5,48,1720,1,1,371,NA,NA,-
6,1,2379,1,1,3,NA,NA,-
6,2,1993,1,1,3,NA,NA,-
6,3,1672,1,1,19,497.956,0.022,-
6,4,1711,1,1,19,544.826,0.114,-
6,5,1645,1,1,35,535.727,0.018,-
6,6,1639,1,1,35,538.631,0.023,-
6,7,1265,1,1,51,410.345,0.017,-
6,8,1320,1,1,51,437.991,0.071,-
6,9,1568,1,1,67,533.798,-0.03,-
6,10,1636,1,1,67,563.78,0.029,-
6,11,1632,1,1,83,571.959,0.112,-
6,12,1387,1,1,83,481.363,-0.065,-
6,13,1640,1,1,99,573.14,0.001,-
6,14,1606,1,1,99,551.626,-0.041,-
6,15,1561,1,1,115,534.072,0.091,-
6,16,1536,1,1,115,521.119,0.065,-
6,17,659,1,1,131,188.396,-0.106,-
6,18,801,1,1,131,239.442,-0.006,-
6,19,1298,1,1,147,429.385,0.001,-
6,20,1314,1,1,147,432.268,0.007,-
6,21,1355,1,1,163,437.158,-0.132,-
6,22,1316,1,1,163,416.048,-0.173,-
6,23,1606,1,1,179,525.204,-0.048,-
6,24,1741,1,1,179,572.501,0.044,-
6,25,1296,1,1,195,397.127,0.046,-
6,26,1309,1,1,195,397.191,0.046,-
6,27,1750,1,1,211,564.627,0.031,-
6,28,1870,1,1,211,610.916,0.121,-
6,29,270,1,1,227,17.522,-0.24,-
6,30,293,1,1,227,30.977,-0.214,-
6,31,1334,1,1,243,425.009,-0.229,-
6,32,1351,1,1,243,437.083,-0.206,-
6,33,981,1,1,259,307.139,-0.075,-
6,34,1014,1,1,259,329.021,-0.032,-
6,35,1529,1,1,275,534.624,-0.01,-
6,36,1359,1,1,275,NA,NA,-
6,37,894,1,1,291,323.841,-0.004,-
6,38,1017,1,1,291,381.891,0.109,-
6,39,1303,1,1,307,498.507,0.045,-
6,40,1142,1,1,307,434.945,-0.08,-
6,41,1374,1,1,323,523.406,-0.004,-
6,42,1462,1,1,323,556.452,0.061,-
6,43,1261,1,1,339,482.841,-0.117,-
6,44,1349,1,1,339,522.796,-0.038,-
6,45,1431,1,1,355,543.875,-0.026,-
6,46,1550,1,1,355,556.437,-0.001,-
6,47,1785,1,1,371,NA,NA,-
6,48,2074,1,1,371,NA,NA,-
7,1,2495,1,1,4,NA,NA,-
7,2,1961,1,1,4,NA,NA,-
7,3,1838,1,1,20,491.431,0.034,-
7,4,1626,1,1,20,462.831,-0.022,-
7,5,1697,1,1,36,502.924,0.004,-
7,6,1725,1,1,36,522.691,0.042,-
7,7,1065,1,1,52,307.532,0.152,-
7,8,954,1,1,52,274.781,0.088,-
7,9,1639,1,1,68,517.124,-0.039,-
7,10,1647,1,1,68,524.149,-0.026,-
7,11,1342,1,1,84,425.296,-0.189,-
7,12,1735,1,1,84,568.542,0.092,-
7,13,1391,1,1,100,441.738,-0.046,-
7,14,1356,1,1,100,422.944,-0.083,-
7,15,1664,1,1,116,529.019,0.071,-
7,16,1351,1,1,116,NA,NA,-
7,17,1750,1,1,132,548.524,0.098,-
