#row  column  size-1  size-2  circ-1  circ-2  MedInt-1  MedInt-2
7 13 167 185 0.955 0.919 244 244
7 14 191 0 0.928 0.0 244 0
7 15 164 142 0.972 0.91 247 243
7 16 150 0 0.972 0.0 246 0
7 17 179 0 0.942 0.0 246 0
7 18 157 143 0.955 0.952 248 244
7 19 136 0 0.967 0.0 246 0
7 20 180 187 0.947 0.929 247 246
7 21 0 207 0.0 0.943 0 246
7 22 0 155 0.0 0.909 0 243
7 23 174 173 0.938 0.91 245 243
7 24 166 165 0.917 0.889 240 240
8 1 195 148 0.908 0.959 239 243
8 2 38 31 0.974 -1.0 232 230
8 3 223 237 0.943 0.913 246 249
8 4 239 232 0.913 0.905 250 248
8 5 220 0 0.865 0.0 248 0
8 6 244 208 0.913 0.915 247 247
8 7 229 208 0.901 0.956 245 246
8 8 0 0 0.0 0.0 0 0
8 9 199 194 0.957 0.912 244 244
8 10 200 176 0.94 0.895 247 241
8 11 0 151 0.0 0.918 0 243
8 12 132 177 0.938 0.931 244 244
8 13 170 198 0.916 0.94 244 243
8 14 165 126 0.944 0.921 244 244
8 15 192 176 0.932 0.926 245 244
8 16 0 85 0.0 0.891 0 237
8 17 46 136 0.945 0.941 235 247
8 18 0 127 0.0 0.967 0 245
8 19 146 168 0.936 0.971 244 246
8 20 0 0 0.0 0.0 0 0
8 21 169 171 0.911 0.922 245 244
8 22 167 175 0.955 0.899 245 244
8 23 0 164 0.0 0.884 0 242
8 24 149 160 0.94 0.948 240 237
9 1 188 185 0.956 0.89 240 245
9 2 165 188 0.921 0.934 245 248
9 3 69 0 0.976 0.0 239 0
9 4 218 208 0.921 0.927 247 242
9 5 239 204 0.921 0.889 247 245
9 6 35 192 -1.0 0.954 230 248
9 7 145 157 0.939 0.955 244 243
9 8 197 180 0.926 0.947 246 246
9 9 170 14 0.916 -1.0 241 203
9 10 206 213 0.969 0.908 243 244
9 11 183 205 0.909 0.922 244 242
9 12 210 186 0.915 0.924 240 242
9 13 176 170 0.958 0.949 244 245
9 14 0 0 0.0 0.0 0 0
9 15 186 138 0.924 0.954 243 243
9 16 73 169 0.942 0.943 236 242
9 17 180 130 0.957 0.951 242 242
9 18 181 182 0.952 0.935 245 244
9 19 190 183 0.923 0.963 243 243
9 20 160 169 0.915 0.943 244 239
9 21 11 0 -1.0 0.0 191 0
9 22 170 183 0.949 0.931 245 246
9 23 146 167 0.911 0.965 240 244
9 24 159 127 0.933 0.929 237 234
10 1 174 192 0.938 0.924 240 241
10 2 94 188 0.953 0.956 241 247
10 3 216 46 0.933 0.992 250 234
10 4 123 212 0.936 0.896 247 248
10 5 211 199 0.928 0.944 246 246
10 6 180 183 0.916 0.94 244 242
10 7 149 0 0.93 0.0 244 0
10 8 0 134 0.0 0.906 0 242
10 9 163 84 0.956 0.957 244 238
10 10 82 208 0.983 0.906 235 243
