#row  column  size-1  circ-1  MedInt-1
10 26 176 0.926 237
10 27 156 0.949 235
10 28 155 0.933 235
10 29 180 0.925 235
10 30 178 0.915 237
10 31 179 0.933 238
10 32 175 0.953 236
10 33 162 0.927 236
10 34 169 0.943 240
10 35 164 0.893 239
10 36 160 0.939 237
10 37 111 0.907 230
10 38 127 0.955 232
10 39 160 0.915 241
10 40 155 0.909 242
10 41 159 0.91 239
10 42 146 0.946 239
10 43 147 0.942 237
10 44 146 0.936 237
10 45 115 0.901 234
10 46 114 0.893 229
10 47 195 0.956 240
10 48 201 0.924 238
11 1 245 0.917 236
11 2 205 0.893 243
11 3 196 0.901 240
11 4 172 0.927 240
11 5 183 0.931 239
11 6 163 0.966 244
11 7 169 0.911 242
11 8 166 0.959 243
11 9 154 0.872 244
11 10 178 0.906 235
11 11 145 0.915 242
11 12 147 0.963 241
11 13 136 0.967 238
11 14 134 0.953 241
11 15 119 0.961 236
11 16 129 0.932 236
11 17 161 0.944 245
11 18 167 0.932 241
11 19 153 0.931 235
11 20 154 0.913 241
11 21 171 0.879 241
11 22 186 0.895 242
11 23 154 0.881 238
11 24 162 0.873 239
11 25 118 0.953 233
11 26 131 0.931 234
11 27 132 0.903 236
11 28 133 0.973 234
11 29 169 0.933 238
11 30 167 0.922 236
11 31 165 0.978 239
11 32 150 0.936 238
11 33 172 0.936 237
11 34 159 0.91 237
11 35 170 0.894 237
11 36 144 0.885 241
11 37 146 0.936 238
11 38 162 0.904 236
11 39 158 0.927 236
11 40 143 0.902 234
11 41 140 0.874 238
11 42 138 0.918 235
11 43 146 0.911 239
11 44 152 0.934 238
11 45 144 0.923 238
11 46 156 0.832 240
11 47 161 0.88 236
11 48 219 0.926 234
12 1 273 0.797 241
12 2 211 0.83 241
12 3 190 0.944 237
12 4 163 0.891 239
12 5 173 0.932 240
12 6 166 0.917 242
12 7 180 0.947 244
12 8 168 0.961 245
12 9 162 0.917 243
12 10 157 0.98 242
12 11 152 0.892 241
12 12 151 0.864 241
12 13 128 0.963 240
12 14 135 0.898 241
12 15 118 0.936 238
12 16 134 0.927 239
12 17 171 0.954 244
12 18 150 0.936 240
12 19 148 0.934 241
12 20 157 0.898 242
12 21 202 0.929 245
12 22 173 0.965 243
12 23 160 0.948 239
12 24 166 0.926 241
12 25 133 0.92 235
12 26 134 0.916 235
12 27 131 0.896 236
12 28 132 0.913 236
12 29 182 0.926 236
12 30 172 0.96 238
12 31 170 0.916 233
12 32 164 0.938 236
12 33 170 0.894 238
