date,delay,distance,origin,destination
363,8,1242,AUS,LAX
364,18,513,JAX,MSY
365,36,1751,BNA,SAN
366,-10,328,PVD,BWI
367,-3,223,LAS,BUR
368,-6,307,CLE,MDW
369,-7,1772,LAS,CMH
370,0,325,OAK,BUR
371,0,612,TPA,BNA
372,-3,188,RNO,SJC
373,16,632,MDW,RDU
374,-10,303,HOU,MSY
375,-18,1301,PHX,MSY
376,-2,296,SJC,BUR
377,-21,632,RDU,MDW
378,-25,1489,MCI,OAK
379,-5,1479,MCI,SJC
380,-5,180,RNO,OAK
381,-8,419,OKC,HOU
382,0,293,DAL,LBB
383,10,291,SLC,BOI
384,4,663,BWI,JAX
385,7,907,BNA,PVD
386,8,1137,PVD,TPA
387,6,319,MAF,DAL
388,27,479,SMF,PDX
389,3,1301,MSY,PHX
390,7,590,LAX,SLC
391,-10,325,PHX,ONT
392,-12,1588,LAS,BNA
393,-12,601,PHX,RNO
394,-21,1448,PHX,BNA
395,-28,1618,LAS,BHM
396,-5,304,SAN,PHX
397,-5,462,OKC,STL
398,-5,520,LAS,BOI
399,6,324,AMA,DAL
400,18,687,HOU,STL
401,4,223,MCI,TUL
402,-15,714,ELP,LAX
403,-19,1363,MCI,LAX
404,-3,1107,PHX,SEA
405,-7,446,SAN,OAK
406,-7,647,SMF,PHX
407,-7,775,LAS,LBB
408,0,842,BWI,TPA
409,1,828,MCO,IND
410,77,279,PDX,GEG
411,13,515,BWI,IND
412,-1,687,HOU,STL
413,-10,605,SEA,SMF
414,-10,677,ABQ,LAX
415,-11,513,MSY,JAX
416,-15,337,OAK,LAX
417,-2,223,BUR,LAS
418,-5,1521,LAS,MDW
419,-5,397,LAS,SMF
420,-6,369,PHX,BUR
421,0,229,MDW,DTW
422,0,236,LAS,LAX
423,10,1501,MSY,LAS
424,5,727,SDF,TPA
425,9,888,JAN,BWI
426,18,630,SLC,PDX
427,-1,229,DTW,MDW
428,-5,197,ONT,LAS
429,-7,584,ELP,LAS
430,-9,217,IAH,DAL
431,-12,1670,BWI,ABQ
432,16,256,LAS,PHX
433,-1,507,SLC,PHX
434,-2,422,SLC,RNO
435,-21,569,PDX,SJC
436,-3,342,SJC,SNA
437,-3,361,OAK,ONT
438,-5,636,SAN,ELP
439,-6,251,MDW,STL
440,-6,386,SJC,LAS
441,0,341,AUS,LBB
442,18,588,SLC,OAK
443,2,303,MSY,HOU
444,-5,178,FLL,MCO
445,-5,373,LAX,SMF
446,-6,528,AUS,ELP
447,-8,1262,STL,PHX
448,12,1040,MCO,SAT
449,5,417,SJC,SAN
450,8,370,LAX,PHX
451,6,220,ISP,BWI
452,7,237,MCI,STL
453,12,181,OKC,DAL
454,-15,1140,MCI,LAS
455,-20,1552,ABQ,MCO
456,-3,833,PHX,OKC
457,-6,255,RDU,BWI
458,-6,389,ONT,SMF
459,-8,1069,SAT,LAS
460,16,370,PHX,LAX
461,2,1099,LAS,OMA
462,45,1262,PHX,STL
463,19,337,LAX,OAK
464,-2,1037,OMA,PHX
465,-1,237,DAL,TUL
466,-10,889,OAK,ABQ
467,-2,397,SMF,LAS
468,-2,480,SAN,SMF
469,-3,389,SMF,ONT
470,-5,288,ALB,BWI
471,-5,328,PHX,ABQ
472,-8,359,JAN,HOU
473,3,308,SJC,LAX
474,15,802,CMH,MCO
475,-13,708,IND,MSY
476,-2,239,HOU,DAL
477,-3,337,OAK,LAX
478,-4,180,RNO,OAK
479,-5,271,SDF,MDW
480,-7,1444,MDW,PHX
481,-8,239,DAL,HOU
482,-9,281,BWI,BUF
483,-9,370,LAX,PHX
484,0,370,PHX,LAX
485,1,223,TUL,MCI
486,14,564,SEA,RNO
487,5,1044,PHX,MCI
488,5,258,LAS,SAN
489,8,296,LIT,STL
490,-10,1262,PHX,STL
491,-6,325,ONT,PHX
492,2,296,LIT,DAL
493,7,480,SMF,SAN
494,5,337,LAX,OAK
495,-1,188,SJC,RNO
496,-12,313,MCI,OKC
497,-21,1011,MCO,BUF
498,-4,325,OAK,BUR
499,-6,328,ABQ,PHX
500,-7,588,BNA,BWI
501,2,447,SFO,SAN
502,5,325,PHX,ONT
503,8,345,RNO,LAS
504,-5,236,LAX,LAS
505,-14,1180,ABQ,SEA
506,-20,1164,AUS,SAN
507,-3,258,SAN,LAS
508,-3,345,LAS,RNO
509,-5,248,DAL,SAT
510,0,181,DAL,OKC
511,14,446,OAK,SAN
512,3,1588,BNA,LAS
513,5,543,OAK,PDX
514,-4,325,BUR,OAK
515,24,303,MSY,HOU
516,4,612,BNA,TPA
517,-2,395,BNA,MDW
518,-3,621,SJC,PHX
519,0,562,ELP,DAL
520,18,580,ABQ,DAL
521,7,304,PHX,SAN
522,8,192,HOU,SAT
523,8,223,LAS,BUR
524,-10,796,LAS,MAF
525,-2,342,SNA,SJC
526,-3,296,BUR,SJC
527,-5,256,PHX,LAS
528,-5,460,BHM,TPA
529,0,288,BWI,ALB
530,0,866,SEA,LAS
531,5,925,BWI,FLL
532,9,223,BUR,LAS
533,-9,440,DTW,STL
534,6,333,SJC,ONT
535,-2,229,DTW,MDW
536,-10,405,MDW,MCI
537,-13,337,OAK,LAX
538,-23,451,TUS,LAX
539,-5,148,HOU,AUS
540,-5,487,ABQ,LAS
541,-5,671,OAK,SEA
542,-7,239,HOU,DAL
543,-7,284,CMH,MDW
544,-7,393,LIT,HOU
545,0,332,MAF,ABQ
546,11,224,GEG,SEA
547,19,1050,BDL,MCO
548,-5,180,RNO,OAK
549,10,714,LAX,ELP
550,4,453,TUL,HOU
551,5,493,SLC,ABQ
552,-1,321,MSY,BHM
553,-3,347,PHX,ELP
554,-4,447,SAN,SFO
555,-5,197,LAS,ONT
556,-5,564,RNO,SEA
557,-7,369,BUR,PHX
558,0,341,LBB,AUS
559,5,636,ELP,SAN
560,-29,1912,BUF,PHX
561,29,919,SLC,MCI
562,-12,251,MDW,STL
563,-2,612,TPA,BNA
564,-4,507,SLC,PHX
565,-6,1020,PHX,HOU
566,0,337,LAX,OAK
567,3,256,LAS,PHX
568,4,287,GEG,BOI
569,50,291,BOI,SLC
570,69,723,GEG,OAK
571,12,1073,PVD,MCO
572,6,351,TUL,STL
573,-1,562,DAL,ELP
574,-2,687,HOU,STL
575,-5,677,HOU,ELP
576,-8,451,LAX,TUS
577,12,189,DAL,AUS
578,14,239,DAL,HOU
579,18,325,OAK,BUR
580,30,787,BWI,MCO
581,5,859,ISP,JAX
582,-5,651,PHX,SFO
583,-1,248,DAL,SAT
584,-12,236,LAS,LAX
585,-15,487,MSY,TPA
586,-18,1363,MCI,LAX
587,-20,601,PHX,RNO
588,-4,187,CRP,HOU
589,-5,528,ELP,AUS
590,-7,457,DTW,BNA
591,10,1246,BWI,HOU
592,11,369,PHX,BUR
593,-2,386,LAS,SJC
594,-15,399,BOI,SEA
595,-5,303,HOU,MSY
596,-6,1797,LAX,BNA
597,-7,444,PDX,RNO
598,12,307,MDW,CLE
599,12,496,SAT,ELP
600,8,361,ONT,OAK
601,9,368,LAS,SLC
602,13,611,BWI,MDW
603,25,580,DAL,ABQ
604,-1,328,PHX,ABQ
605,-13,687,STL,HOU
606,-2,328,ABQ,PHX
607,-2,440,STL,DTW
608,-20,1999,BWI,PHX
609,-3,370,LAX,PHX
610,-4,271,SDF,MDW
611,-8,1342,BWI,AUS
612,-8,308,LAX,SJC
613,0,148,HOU,AUS
614,0,239,DAL,HOU
615,0,239,HOU,DAL
616,0,256,PHX,LAS
617,0,359,HOU,JAN
618,2,1848,MCO,PHX
619,59,405,MDW,MCI
620,9,446,SAN,OAK
621,-1,318,JAX,FLL
622,-1,666,MDW,JAN
623,-12,410,CMH,STL
624,-20,1040,SAT,MCO
625,0,787,MCO,BWI
626,3,775,LBB,LAS
627,5,283,BWI,BDL
628,43,108,ISP,PVD
629,6,342,STL,OMA
630,8,471,MSY,BNA
631,24,630,PDX,SLC
632,-1,395,MDW,BNA
633,-13,405,MDW,MCI
634,-2,351,STL,TUL
635,-27,1671,LAX,MSY
636,-4,296,SJC,BUR
637,-5,314,BWI,CLE
638,-6,237,TUL,DAL
639,-7,1333,MCI,SAN
640,-7,258,LAS,SAN
641,0,371,OAK,SNA
642,0,677,ABQ,LAX
643,-8,671,SEA,OAK
644,-12,843,PHX,SAT
645,-2,389,ONT,SMF
646,-2,407,OAK,LAS
647,-4,371,SNA,OAK
648,-5,319,DAL,MAF
649,-5,443,BNA,RDU
650,-6,397,LAS,SMF
651,-7,670,HOU,BNA
652,12,276,HOU,HRL
653,15,251,STL,MDW
654,7,284,MDW,CMH
655,-1,288,BWI,ALB
656,-10,677,LAX,ABQ
657,-10,997,TPA,MDW
658,-11,1489,IND,PHX
659,-2,220,BWI,ISP
660,-3,304,PHX,SAN
661,-3,345,LAS,RNO
662,2,181,OKC,DAL
663,2,325,BUR,OAK
664,5,1444,PHX,MDW
665,5,1479,SJC,MCI
666,5,423,OMA,MDW
667,18,543,PDX,OAK
668,23,647,PHX,SMF
669,7,1407,SAT,BWI
670,-2,303,MSY,HOU
671,-5,277,ABQ,AMA
672,-9,229,MDW,DTW
673,-9,296,LIT,STL
674,13,487,STL,CLE
675,23,588,OAK,SLC
676,5,417,SAN,SJC
677,8,304,SAN,PHX
678,-2,967,BWI,MCI
679,36,325,PHX,ONT
680,-11,1107,SEA,PHX
681,-3,239,HOU,DAL
682,-3,495,BWI,SDF
683,-32,972,MCO,ISP
684,-4,281,BUF,BWI
685,-5,188,RNO,SJC
686,-5,605,SMF,SEA
687,-6,714,LAX,ELP
688,-7,224,SEA,GEG
689,-7,325,ONT,PHX
690,-7,397,SMF,LAS
691,0,197,TPA,FLL
692,0,373,SMF,LAX
693,11,419,HOU,OKC
694,5,1999,PHX,BWI
695,-5,1235,HOU,LAS
696,-5,223,BUR,LAS
697,-5,373,LAX,SMF
698,0,1099,LAS,OMA
699,29,723,OAK,GEG
700,7,239,DAL,HOU
701,9,1073,MCO,ALB
702,-6,337,LAX,OAK
703,0,337,OAK,LAX
704,6,236,LAS,LAX
705,4,303,HOU,MSY
706,-10,718,ABQ,MCI
707,-11,872,AUS,PHX
708,-4,325,OAK,BUR
709,-4,390,LAX,RNO
710,-5,192,SAT,HOU
711,-5,611,MDW,BWI
712,-9,663,JAX,BWI
713,0,389,SMF,ONT
714,14,1156,SLC,STL
715,18,663,BWI,JAX
716,4,833,OKC,PHX
717,47,584,LAS,ELP
718,2,325,BUR,OAK
719,5,689,SEA,SLC
720,2,1140,LAS,MCI
721,-12,1242,LAX,AUS
722,-2,279,PDX,GEG
723,-4,616,BNA,MCO
724,0,251,STL,MDW
725,0,293,LBB,DAL
726,2,180,OAK,RNO
727,2,377,BWI,MHT
728,6,258,LAS,SAN
729,6,478,MCO,BHM
730,8,1069,LAS,SAT
731,43,370,PHX,LAX
732,11,258,SAN,LAS
733,25,487,TPA,MSY
734,-1,293,DAL,LBB
735,-22,1455,PHX,BHM
736,-3,496,ELP,SAT
737,-7,296,SJC,BUR
738,0,1142,MCO,MHT
739,0,229,DTW,MDW
740,0,236,LAX,LAS
741,12,223,ELP,ABQ
742,15,407,LAS,OAK
743,3,708,MSY,IND
744,7,187,HOU,CRP
745,18,543,OAK,PDX
746,-4,938,MHT,BNA
747,45,368,SLC,LAS
748,-1,296,DAL,LIT
749,-10,1034,TPA,ISP
750,-10,569,SJC,PDX
751,-20,842,PVD,MDW
752,-3,333,ONT,SJC
753,-5,803,BNA,ISP
754,12,256,PHX,LAS
755,20,347,PHX,ELP
756,4,446,SAN,OAK
757,5,480,SMF,SAN
